date,JPM,META,NVDA,TSLA
2023-01-23,127.20304107666016,142.0228271484375,19.15045166015625,143.75
2023-01-24,128.2965087890625,141.89393615722656,19.2222900390625,143.88999938964844
2023-01-25,128.9173583984375,140.2682342529297,19.280160903930664,144.42999267578125
2023-01-26,129.71429443359375,146.01776123046875,19.758100509643555,160.27000427246094
2023-01-27,130.02940368652344,150.41908264160156,20.319849014282227,177.89999389648438
2023-01-30,128.9266357421875,145.77980041503906,19.119518280029297,166.66000366210938
2023-01-31,129.69577026367188,147.67320251464844,19.49368667602539,173.22000122070312
2023-02-01,129.35289001464844,151.78707885742188,20.89657211303711,181.41000366210938
2023-02-02,128.75057983398438,187.1267547607422,21.66086769104004,188.27000427246094
2023-02-03,130.74288940429688,184.90621948242188,21.0532169342041,189.97999572753906
2023-02-06,131.5120086669922,184.44032287597656,21.042245864868164,194.75999450683594
2023-02-07,133.11512756347656,189.951904296875,22.123842239379883,196.80999755859375
2023-02-08,132.17919921875,181.83322143554688,22.155771255493164,201.2899932861328
2023-02-09,130.1220245361328,176.37120056152344,22.2874755859375,207.32000732421875
2023-02-10,130.69654846191406,172.63400268554688,21.21785545349121,196.88999938964844
2023-02-13,132.11434936523438,177.86802673339844,21.739694595336914,194.63999938964844
2023-02-14,132.6981201171875,177.9176025390625,22.920072555541992,209.25
2023-02-15,133.254150390625,175.61781311035156,22.713529586791992,214.24000549316406
2023-02-16,131.41937255859375,170.93887329101562,21.95322036743164,202.0399932861328
2023-02-17,131.80853271484375,171.3750762939453,21.340585708618164,208.30999755859375
2023-02-21,129.3899688720703,170.58203125,20.609207153320312,197.3699951171875
2023-02-22,128.39840698242188,169.63035583496094,20.70798683166504,200.86000061035156
2023-02-23,129.42701721191406,170.54237365722656,23.61153221130371,202.07000732421875
2023-02-24,130.59458923339844,168.90675354003906,23.234373092651367,196.8800048828125
2023-02-27,131.7344207763672,168.0641326904297,23.448898315429688,207.6300048828125
2023-02-28,132.83717346191406,173.41712951660156,23.16452980041504,205.7100067138672
2023-03-01,132.09580993652344,171.9103546142578,22.647676467895508,202.77000427246094
2023-03-02,130.72438049316406,173.0106964111328,23.262313842773438,190.89999389648438
2023-03-03,133.1244354248047,183.6373748779297,23.837032318115234,197.7899932861328
2023-03-06,132.3459930419922,183.29042053222656,23.50177764892578,193.80999755859375
2023-03-07,128.45404052734375,182.90379333496094,23.24031639099121,187.7100067138672
2023-03-08,127.69418334960938,183.35980224609375,24.131486892700195,182.0
2023-03-09,120.78125,180.10838317871094,23.388011932373047,172.9199981689453
2023-03-10,123.84849548339844,177.9473419189453,22.917978286743164,173.44000244140625
2023-03-13,121.62451171875,179.3252410888672,22.918975830078125,174.47999572753906
2023-03-14,124.74738311767578,192.33102416992188,24.013731002807617,183.25999450683594
2023-03-15,118.85379028320312,196.028564453125,24.17839241027832,180.4499969482422
2023-03-16,121.16118621826172,203.14605712890625,25.488704681396484,184.1300048828125
2023-03-17,116.58346557617188,193.9071807861328,25.672325134277344,180.1300048828125
2023-03-20,117.8159408569336,196.08804321289062,25.84696388244629,183.25
2023-03-21,120.97583770751953,200.40017700195312,26.145355224609375,197.5800018310547
2023-03-22,117.85301208496094,198.0706329345703,26.413803100585938,191.14999389648438
